Symbol,Company
000660.KS,SK Hynix
2330.TW,Taiwan Semiconductor Manufacturing (TWD)
5E2.SI,Seatrium
A17U.SI,Capitaland Ascendas REIT
AAPL,Apple Inc
AIQ,Global X AI & Technology ETF
AMZN,Amazon.com Inc
ARKK,ARK Innovation ETF
ARTY,iShares Future AI & Tech ETF
ASML,ASML Holding NV
AVGO,Broadcom Inc
B58.SI,Banyan Tree Holdings
BN4.SI,Keppel Corporation
CRM,Salesforce Inc
D05.SI,DBS Group Holdings
ES3.SI,SPDR STI ETF
F83.SI,COSCO Shipping International (Singapore)
GOOG,Alphabet Inc (Class C)
GOOGL,Alphabet Inc (Class A)
K71U.SI,Keppel REIT
MSFT,Microsoft
NVDA,Nvidia
O39.SI,OCBC Bank
QQQM,Invesco Nasdaq-100 ETF
SMH,VanEck Semiconductor ETF
SOXX,iShares Semiconductor ETF
TSM,Taiwan Semiconductor Mfg (ADR)
U96.SI,Sembcorp Industries
VGT,Vanguard Information Technology ETF
VRT,Vertiv Holdings
Z74.SI,Singtel
